PROBE ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,SYMBOL,GENENAME,ENTREZID,threshold
2774971,-1.415152445,8.8124305309889,-10.6845437,1.04042567567484e-14,1.84683947961927e-12,23.2823763309447,ANTXR2,ANTXR cell adhesion molecule 2,118429,Down
2777044,-1.217510245,5.26954974318416,-6.279638009,7.01580989454116e-08,1.11983315147749e-06,7.78251141076819,HSD17B13,hydroxysteroid 17-beta dehydrogenase 13,345275,Down
2777070,-1.321567393,8.40506837783888,-10.76075418,8.0535210048816e-15,1.47721709032041e-12,23.5346411307184,HSD17B11,hydroxysteroid 17-beta dehydrogenase 11,51170,Down
2777113,-1.624125179,10.019059388807,-9.094286602,2.54469389955586e-12,1.93142266976289e-10,17.8590575728681,SPARCL1,SPARC like 1,8404,Down
2777487,-1.59464782,7.96409440881356,-10.80972845,6.83400446852279e-15,1.33117940138633e-12,23.6963588209193,FAM13A,family with sequence similarity 13 member A,10144,Down
2777564,-1.166542793,7.83235800860065,-7.980588802,1.3916404900176e-10,5.7577817341687e-09,13.9102290796697,FAM13A,family with sequence similarity 13 member A,10144,Down
2779199,-2.515229129,6.49309334363716,-11.67456392,3.95378369518348e-16,1.26386214413653e-13,26.5005263890265,ADH1A,"alcohol dehydrogenase 1A (class I), alpha polypeptide",124,Down
2779231,-3.686839514,6.98866675654425,-13.66481302,8.0707772064818e-19,5.65820616288435e-16,32.573049339835,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide",125,Down
2779271,-2.839647264,7.4727156718949,-14.20348713,1.6458575259888e-19,1.6466804547518e-16,34.1254757692296,ADH1C,"alcohol dehydrogenase 1C (class I), gamma polypeptide",126,Down
2779543,-1.748060966,7.29379483039291,-10.63555595,1.22707320971826e-14,2.11008659524287e-12,23.1198309221591,EMCN,endomucin,51705,Down
2783596,-1.119636508,6.96251458951943,-6.287542489,6.81624255980758e-08,1.09273353957702e-06,7.81084537022932,PDE5A,phosphodiesterase 5A,8654,Down
2783788,-1.022982955,6.57815837501119,-10.65646166,1.14359922744028e-14,2.01374100761503e-12,23.1892350974346,PRDM5,PR/SET domain 5,11107,Down
2788926,-1.151845488,6.81283257245492,-13.37469707,1.92911227278909e-18,1.14761324963137e-15,31.7210224040474,NR3C2,nuclear receptor subfamily 3 group C member 2,4306,Down
2792127,-1.206367358,7.99159044640684,-2.237840407,0.0295526268687291,0.0712467546558157,-4.586104288,NPY1R,neuropeptide Y receptor Y1,4886,Down
2794454,-1.088064716,4.74289584886281,-3.156724292,0.00265780980521255,0.00952475604404648,-2.397720726,GLRA3,glycine receptor alpha 3,8001,Down
2796553,-1.066551296,9.12792347024626,-4.008224744,0.000196515595917884,0.00103803810457128,0.0644104030393455,ACSL1,acyl-CoA synthetase long chain family member 1,2180,Down
2796951,-1.083742289,8.24968853242332,-4.705659665,1.91939675875564e-05,0.000139277878883407,2.30415341802714,PDLIM3,PDZ and LIM domain 3,27295,Down
2805232,-1.187806593,7.26953550195335,-6.281227866,6.97520804094846e-08,1.11416040775992e-06,7.7882099713767,PDZD2,PDZ domain containing 2,23037,Down
2807716,-2.124388004,6.72527533556309,-7.625770344,5.07047978951608e-10,1.71175353753126e-08,12.6350057052535,C7,complement C7,730,Down
2807949,-2.270284119,7.60123367167639,-8.742276307,8.91430832185492e-12,5.48080559978627e-10,16.6218629312025,GHR,growth hormone receptor,2690,Down
2813060,-1.267904237,10.0911509986372,-11.40139391,9.62692484305658e-16,2.52259812762522e-13,25.6254595205173,PIK3R1,phosphoinositide-3-kinase regulatory subunit 1,5295,Down
2816681,-1.130456172,6.67120539051376,-5.406324609,1.64829005184982e-06,1.70812204949465e-05,4.69143351451795,PDE8B,phosphodiesterase 8B,8622,Down
2817212,-1.196550015,6.98040002098802,-5.880305249,2.99849386326282e-07,3.93324484054099e-06,6.35794604486645,BHMT2,betaine--homocysteine S-methyltransferase 2,23743,Down
2820394,-1.139469494,8.40392163349236,-8.876457094,5.52028914203892e-12,3.68203285773996e-10,17.0948099126414,NR2F1,nuclear receptor subfamily 2 group F member 1,7025,Down
2827057,-1.202065301,8.27280129262302,-5.505726755,1.15562449139824e-06,1.25488163197665e-05,5.03815988301829,GRAMD2B,GRAM domain containing 2B,65983,Down
2827645,-1.083129839,5.51854908407032,-8.945188196,4.32146478268022e-12,2.9724925416117e-10,17.3364342385484,SLC27A6,solute carrier family 27 member 6,28965,Down
2830861,-1.485870713,11.4115453508206,-6.954349746,5.92894041131798e-09,1.36508271332134e-07,10.2120677700547,EGR1,early growth response 1,1958,Down
2832392,-1.033797666,6.5314944330701,-6.224329109,8.58479349369157e-08,1.3382428441193e-06,7.58438055924478,PCDHB16,protocadherin beta 16,57717,Down
2835715,-2.300676745,8.81348333898177,-10.41719541,2.56944941828666e-14,3.90042421695916e-12,22.3916090465441,GPX3,glutathione peroxidase 3,2878,Down
2840393,-2.692238645,9.33741188828938,-5.481569378,1.25994191428967e-06,1.35396067184639e-05,4.95374527847291,GABRP,gamma-aminobutyric acid type A receptor subunit pi,2568,Down
2844908,-1.162318319,7.39130730320354,-8.976446382,3.86666363078891e-12,2.74545590894499e-10,17.4461768654601,BTNL9,butyrophilin like 9,153579,Down
2854092,-2.406348569,7.94958334817744,-11.75136943,3.08388615955242e-16,1.04429874242936e-13,26.7447681732772,LIFR,LIF receptor subunit alpha,3977,Down
2855285,-1.097925623,10.6767546485335,-5.923483395,2.56421454584478e-07,3.46263351954537e-06,6.51122842049846,SELENOP,selenoprotein P,6414,Down
2855542,-2.22559592,8.59694705025472,-6.380860541,4.84711657760444e-08,8.11947359129766e-07,8.14566463255266,CCL28,C-C motif chemokine ligand 28,56477,Down
2855818,-1.770928842,6.57867578872621,-7.009474881,4.84366278912265e-09,1.15229423186726e-07,10.4111221497842,FGF10,fibroblast growth factor 10,2255,Down
2857204,-1.211277338,9.44119001588823,-8.46175193,2.44000504727764e-11,1.28178880896487e-09,15.6281474444259,PLPP1,phospholipid phosphatase 1,8611,Down
2869880,-1.115106442,8.30929790848023,-3.649001077,0.000611690029190626,0.00273323370534204,-1.01678171,EFNA5,ephrin A5,1946,Down
2871896,-2.050236213,6.79859881331691,-10.74093195,8.60766413863723e-15,1.56581235831028e-12,23.4690988219567,CDO1,cysteine dioxygenase type 1,1036,Down
2872047,-1.529991663,7.62999206502313,-7.568587839,6.24863627066715e-10,2.02859488132234e-08,12.4290059966463,SEMA6A,semaphorin 6A,57556,Down
2876608,-1.019721635,10.4608753609247,-3.153359612,0.00268359317974019,0.00959684313229265,-2.406710896,CXCL14,C-X-C motif chemokine ligand 14,9547,Down
2879166,-1.095628731,7.15885372331489,-6.627281469,1.96686176296285e-08,3.70451580304839e-07,9.03214161039751,FGF1,fibroblast growth factor 1,2246,Down
2879312,-1.067063795,8.50479229368279,-10.28035037,4.09512544042739e-14,5.6690444068709e-12,21.9322086825899,NR3C1,nuclear receptor subfamily 3 group C member 1,2908,Down
2881860,-1.087996179,6.8473177652974,-6.15907759,1.08902511272155e-07,1.64972689305672e-06,7.35093430379702,CCDC69,coiled-coil domain containing 69,26112,Down
2882026,-1.089702338,6.93851458500822,-7.735924629,3.39180204620376e-10,1.21988488299005e-08,13.0314990055076,FAT2,FAT atypical cadherin 2,2196,Down
2882834,-2.016810534,8.27919261609333,-13.20322539,3.24496532684301e-18,1.78562329522854e-15,31.2121486259049,FAXDC2,fatty acid hydroxylase domain containing 2,10826,Down
2883878,-2.367235104,8.99325317156392,-13.34765608,2.09346953463591e-18,1.21261468228608e-15,31.6410347658253,EBF1,EBF transcription factor 1,1879,Down
2886174,-1.692911311,9.10924471897847,-8.839406214,6.30028550792573e-12,4.09765905338332e-10,16.9643777405846,SLIT3,slit guidance ligand 3,6586,Down
2897453,-1.066587523,7.71689327096481,-12.13382902,9.04973206899968e-17,3.93263164041657e-14,27.9491912302351,ID4,inhibitor of DNA binding 4,3400,Down
2905296,-2.010009194,8.08522713176007,-10.45866979,2.23194144021417e-14,3.48420305252157e-12,22.5303838917098,PI16,peptidase inhibitor 16,221476,Down
2909167,-1.495151839,7.4026791167258,-9.267991568,1.37682120489626e-12,1.13502664947459e-10,18.4651789354081,TDRD6,tudor domain containing 6,221400,Down
2914693,-1.706068672,8.01304949547377,-11.42224527,8.99169336530921e-16,2.4136117398027e-13,25.6926045146067,SH3BGRL2,SH3 domain binding glutamate rich protein like 2,83699,Down
2917951,-1.2722501,5.20517279762442,-11.75169423,3.08065229455555e-16,1.04429874242936e-13,26.7457993537662,FHL5,four and a half LIM domains 5,9457,Down
2924851,-1.736346272,6.21197141565893,-7.128516897,3.13034101840743e-09,8.03052868952983e-08,10.8410234814291,RSPO3,R-spondin 3,84870,Down
2925237,-1.838289786,7.75485184167486,-10.35535253,3.17102603408401e-14,4.59139742907727e-12,22.1842835979518,LAMA2,laminin subunit alpha 2,3908,Down
2926969,-1.207866518,7.14550178377754,-9.980309216,1.14677097965743e-13,1.40635575819374e-11,20.9169684553877,PDE7B,phosphodiesterase 7B,27115,Down
2929168,-1.034283407,9.29864633838129,-7.887043828,1.95564169235886e-10,7.72812015987627e-09,13.5746017513371,UTRN,utrophin,7402,Down
2930243,-1.154192914,8.68987424096023,-7.110488142,3.34425828089374e-09,8.50988081164765e-08,10.7759150256787,SASH1,SAM and SH3 domain containing 1,23328,Down
2930418,-1.173251612,6.717765141,-8.935563827,4.47207304251772e-12,3.06650466476192e-10,17.3026261302558,UST,uronyl 2-sulfotransferase,10090,Down
2931569,-1.568917776,7.54439526503721,-11.61480151,4.79964096659656e-16,1.48795630022193e-13,26.3099355304289,AKAP12,A-kinase anchoring protein 12,9590,Down
2931970,-1.285938503,6.57749316663786,-9.12632797,2.271598270709e-12,1.74825697680335e-10,17.9710886434043,MYCT1,MYC target 1,80177,Down
2940145,-1.803543232,8.16572437006554,-8.583133683,1.57696350828174e-11,8.96913275989389e-10,16.0589122457473,NRN1,neuritin 1,51299,Down
2940202,-1.109163777,9.34791989795823,-4.767224043,1.55322315245771e-05,0.00011628569662839,2.50921520059413,F13A1,coagulation factor XIII A chain,2162,Down
2949622,-1.072045807,8.16657049042269,-9.521594193,5.64725926684273e-13,5.33484221984873e-11,19.3444907768977,ATF6B,activating transcription factor 6 beta,1388,Down
2955863,-1.148619184,8.02635433799375,-8.013508201,1.23475564885554e-10,5.1799028428374e-09,14.0282275597786,ADGRF5,adhesion G protein-coupled receptor F5,221395,Down
2957816,-1.232613361,6.1153220290071,-5.533491804,1.04625037486218e-06,1.15145085005457e-05,5.13529657942985,KLHL31,kelch like family member 31,401265,Down
2958325,-1.394030772,8.48587162647431,-10.78188134,7.50251849710172e-15,1.41143533880091e-12,23.6044427510885,DST,dystonin,667,Down
2970086,-1.075098332,8.92093236908744,-6.12361396,1.23918275082719e-07,1.85296545709629e-06,7.22420494950621,LAMA4,laminin subunit alpha 4,3910,Down
2973232,-1.367543767,5.82777727190793,-7.448130125,9.70736799888606e-10,2.93501204702584e-08,11.9947277717344,MTCL3,MTCL family member 3,387104,Down
2973995,-1.291395967,8.75701647084552,-7.992626779,1.33207331311026e-10,5.53908601550319e-09,13.9533857966003,EPB41L2,erythrocyte membrane protein band 4.1 like 2,2037,Down
2977621,-1.48016404,8.60976235486558,-9.290525832,1.27165328589037e-12,1.0602409271111e-10,18.5435851430862,PLAGL1,PLAG1 like zinc finger 1,5325,Down
2983142,-1.038712266,7.3805861470048,-11.73617315,3.23909411788337e-16,1.08023788831411e-13,26.6965066532591,PRKN,parkin RBR E3 ubiquitin protein ligase,5071,Down
