PROBE ID,logFC,AveExpr,t,P.Value,adj.P.Val,B,SYMBOL,GENENAME,ENTREZID,threshold
2438458,1.47846571104013,8.91180564030268,5.97029021306035,2.16378750306711e-07,3.00486603974827e-06,6.67762210375869,CRABP2,cellular retinoic acid binding protein 2,1382,Up
2440943,1.23099355219759,8.5709510834841,6.55390541200065,2.57336796480504e-08,4.66576624986192e-07,8.76787724696421,FCGR3A,Fc gamma receptor IIIa,2214,Up
2449559,1.53931292946616,5.16593361055718,8.74066028888096,8.96599505019907e-12,5.49722888718473e-10,16.616157253639,ASPM,assembly factor for spindle microtubules,259266,Up
2450345,1.09408412279516,4.82386729681273,6.87199675830692,8.0195349934054e-09,1.75639785810792e-07,9.91475726757243,KIF14,kinesin family member 14,9928,Up
2451200,1.810528589,7.02960687537623,10.3559875702288,3.16417618810228e-14,4.59139742907727e-12,22.1864149395619,UBE2T,ubiquitin conjugating enzyme E2 T,29089,Up
2454532,1.02722023156417,7.63015268727798,10.435888322111,2.41137468335468e-14,3.70643502386243e-12,22.4541827559692,INTS7,integrator complex subunit 7,25896,Up
2469252,1.67436122673928,6.89054071416565,6.88201660251951,7.73018689534713e-09,1.69979164588897e-07,9.95092566528006,RRM2,ribonucleotide reductase regulatory subunit M2,6241,Up
2480961,1.27489102115607,9.01307741048532,4.12180856853373,0.000135912130104038,0.000755444923161612,0.417486942437981,EPCAM,epithelial cell adhesion molecule,4072,Up
2494484,1.23715118311863,6.63706656769048,8.09905478467159,9.05162146371824e-11,3.95308015948218e-09,14.3345757180491,NCAPH,non-SMC condensin I complex subunit H,23397,Up
2570616,1.63967233004758,6.06649474156135,9.9737225425345,1.173127649904e-13,1.4266139614385e-11,20.89456066,BUB1,BUB1 mitotic checkpoint serine/threonine kinase,699,Up
2571457,1.31779766676574,5.48898350919829,9.40422852978879,8.52300443544519e-13,7.47409763460494e-11,18.938398404892,CKAP2L,cytoskeleton associated protein 2 like,150468,Up
2578028,1.13393594551829,8.39513270268633,6.94984765306914,6.02765137860345e-09,1.38058932876629e-07,10.1958121227408,CXCR4,C-X-C motif chemokine receptor 4,7852,Up
2585933,1.85322967920778,4.85585305392047,9.40858473728365,8.39356808387472e-13,7.41971193149263e-11,18.9534975207347,SPC25,SPC25 component of NDC80 kinetochore complex,57405,Up
2592268,1.03627426367294,9.62904164476908,5.57891905095432,8.88979062419394e-07,1.00293788533641e-05,5.29448443318645,STAT1,signal transducer and activator of transcription 1,6772,Up
2598261,1.82005712719055,11.1471648454042,10.3597811953894,3.12356646328499e-14,4.58352142822439e-12,22.1991462300918,FN1,fibronectin 1,2335,Up
2620256,1.23320556300794,5.40189719738668,7.85297126757576,2.21392432157834e-10,8.57882426209434e-09,13.4522426863016,KIF15,kinesin family member 15,56992,Up
2650199,1.12300632645368,7.66300639901019,8.16128663520024,7.22359366531717e-11,3.31342595875042e-09,14.5571550460065,SMC4,structural maintenance of chromosomes 4,10051,Up
2651835,1.21136698293422,6.24637099870433,5.14854071156949,4.11070437712763e-06,3.74816545339504e-05,3.80058984743683,GPR160,G protein-coupled receptor 160,26996,Up
2652675,1.60390176207094,6.49131062233078,9.64182700793144,3.71007776394724e-13,3.7806722991779e-11,19.7589479537177,ECT2,epithelial cell transforming 2,1894,Up
