"","GSM2934481","GSM2934482","GSM2934483","GSM2934484","GSM2934485","GSM2934486","GSM2934487","GSM2934488","GSM2934489","GSM2934490","GSM2934491","GSM2934492","GSM2934493","GSM2934494","GSM2934495","GSM2934496","GSM2934497","GSM2934498","GSM2934499","GSM2934500","GSM2934501","GSM2934502","GSM2934503","GSM2934504","GSM2934505","GSM2934506","GSM2934507","GSM2934508","GSM2934509","GSM2934510","GSM2934511","GSM2934512","GSM2934513","GSM2934514","GSM2934515","GSM2934516","GSM2934517","GSM2934518","GSM2934519","GSM2934520","GSM2934521","GSM2934522","GSM2934523","GSM2934524","GSM2934525","GSM2934526","GSM2934527","GSM2934528","GSM2934529","GSM2934530"
"2316558",8.40419777230666,9.22642521023634,8.62764958057025,8.97180892507122,8.87920655180984,8.85046763597405,8.79453766818008,8.92992851664896,8.72677237116598,8.96789413566412,8.74886594537987,8.75482307117333,8.6591682495203,9.01303526661184,8.5603349769329,8.88204934974154,8.67812307716555,8.83325542624613,8.81196621951219,8.98394987772741,8.70349168670628,8.82117540455259,8.72676320227692,8.54081281307653,8.30779051347207,8.69493325405371,9.21413501357662,8.84213806911532,8.66595894234324,8.74068777173801,8.7960242998976,8.81676886857058,8.8188450504836,8.68207561278271,8.84435064625102,9.32299117703512,8.86140855818942,8.98875962202528,8.53370519682666,9.16176181628169,9.11238394127875,8.77207769312395,8.90449009584969,8.55310641596797,8.74471297990621,9.00609346849336,8.81596103143418,8.94002389907158,8.96469854719595,8.81917824009553
"2316605",7.40349800130641,6.80278083121414,7.53759280033359,7.02719781157869,7.49048589737817,7.58301442626878,7.33447972239032,7.17118031242542,7.21146275131294,7.05427559129514,7.14221930798183,7.04148886683097,7.59195205927452,7.15244266643134,7.28421536780609,6.96418928208069,7.30047078129192,7.22700126914039,7.97078696733482,7.49629387867311,7.52697124666218,7.38687664923672,7.17947570603677,7.15898954622754,7.58196547191743,7.54048335058662,7.20519299329508,7.21846409544308,7.67723991463601,7.40646821794949,7.23126754244547,7.33145669782784,7.3430334370777,6.9924824114617,7.32501641131468,7.2664297881958,7.53737231970406,7.02094765400969,7.15687538638237,7.26726940377749,7.2257884210682,7.21578561455431,7.35075677861606,7.0547478404384,7.6575341343813,7.68182531964847,7.59651808463007,7.20358709730348,7.34140862644062,7.22969673987952
"2316746",7.79079085818482,8.29661142316139,8.11413681183473,7.93367717813581,8.25854569423133,8.44906631159796,7.68460693768614,8.43719453450001,7.67353678644822,7.86175718409191,7.88148266996469,8.06634597675843,7.9495684350091,8.40381339392375,7.74436114679683,8.03178874218474,7.82023632230517,7.87286088442148,8.40822357574213,8.69706204269789,7.9634094543958,8.46035680442285,7.607880807421,8.29150523054686,8.05029114390502,8.7696776001883,7.76879005069634,8.09982261881935,8.08984443528622,8.63199141516828,7.94212292786674,8.54383710951914,7.9463684940286,8.18355271728104,7.81953011753423,7.96959018655348,8.2349863208944,8.46672427064773,7.65112886128571,9.00953179645445,7.80438232506558,7.89651450935458,7.80784811386537,8.10734476900613,8.11108130047703,8.36096733804878,7.84802330649804,8.31435398513295,7.93059927882691,8.08596151971664
"2316905",6.59495419066255,6.52441124802232,7.06792061834651,6.4923843242698,7.10056491106501,7.15432291505813,6.67521301134317,6.73353841044554,6.3531235033658,6.70687290896949,6.78290476099138,6.3976438171096,7.26686528117438,6.81317016558052,6.74486403120774,6.77588670315291,6.85173153248626,6.81129759695049,7.62428914507682,6.76004317147102,6.80710648403734,7.28999092248606,6.65423774621234,6.7993367270231,7.0908388085027,7.22537897091287,7.00858349011526,6.91060226195048,7.06303338818827,6.97635507972959,6.72781525153237,7.20194974126648,7.26438589494608,6.736504048792,7.2954956124653,7.1141875002777,7.42650592423526,6.91059259210006,6.72044487444132,6.63357157340222,7.0767990092483,6.70387049965667,7.00478372139975,6.58998780381735,6.95459628872045,7.30883026692236,7.43821616178634,6.79151225452206,6.783709101822,7.05990595956986
"2316953",7.08527851673426,6.60007224231495,7.34825004785406,6.51653847052613,7.34049787864282,7.31697048968806,7.32273735358628,7.01941070428386,6.78224260080199,6.90032896575464,7.0106848014996,6.88413503835525,7.39509466967156,6.89683928478042,7.11286543627344,6.95264392644096,7.12666643214599,7.0619826135948,7.6122468363471,7.13377537648539,7.32188017568284,7.25217563771607,6.89455331049918,6.98202789746892,7.28878679057575,7.38004422091224,7.09395816357778,6.94781671928038,7.33322945462329,7.20985857344124,6.91556725103028,7.12160670254524,7.00877249354847,6.79379951605637,7.35445845714997,7.00981881454699,7.32485983196745,6.93895933484587,6.91454106601669,6.79452562099196,7.08877986060529,6.89766645608376,7.09829467932041,6.7193424082185,7.22653056341634,7.39096868417593,7.4827619895896,6.97400450002002,7.05954383043811,7.08931475082435
"2317246",7.19078682382597,7.22344586717707,7.28477448758834,6.98519937782994,7.29510616630862,7.36722259179364,7.10955287739762,7.20118547564948,6.88472419592006,6.86013032183071,7.04021789978886,7.04961568296435,7.20059679331998,7.26390791066484,7.03587841546397,7.25764824232093,7.11485360232167,7.51283881513935,7.55292093736069,7.29965356616947,7.29603945902408,7.67762111643778,6.80661930880922,7.08758608977954,7.14027987037483,7.66846985393575,6.90453146985507,7.1120446948587,7.46465264065677,7.26174044768997,7.07117011418216,7.31449381119623,7.09691063173902,7.08230641729385,7.13834861411203,7.2206592976519,7.15021242038665,7.14033596035421,6.7099644129048,6.93508242472575,7.02525670925276,7.08270018896649,7.05822270307824,6.79395259350534,7.32145268611017,7.37308362082679,7.1946941301965,7.16479093291167,7.06477009529764,7.30178142577613
"2317317",6.95277967283137,6.89232877877153,7.30597177223896,6.85182135543661,7.3136266238558,7.36369522964395,7.21558947021034,7.29384214605721,6.73842578788595,7.05957423640558,7.10230034255076,7.04075940159071,7.26597802648164,7.12552720862456,7.17306123220128,7.11214449967522,6.93040537642565,7.21213538013841,7.63069061601912,7.27139758324922,7.27078349900899,7.52876931262376,6.98542797607762,7.45062674449551,7.43029907446819,7.57734375193951,7.02510406867322,7.18495013390577,7.29500473141493,7.2543281441508,7.17422252576762,7.42331779628676,7.17817947922348,7.07526646822213,7.31963973917902,7.18652770287702,7.48896449686591,7.12962339470888,7.01416377597591,7.06664792991146,7.10191913126492,6.98644503109041,7.18757566908015,6.91286714732421,7.35574564480785,7.53050089323138,7.30186246705499,7.00000282885756,7.0716465305131,7.24166487954978
"2317434",8.33858852511089,8.72973156239983,8.35880389934894,8.56176635934249,8.69037205471908,8.89885702709697,8.49037409433918,8.27840620957917,8.02141872507555,8.03236251776498,8.3711555187252,7.91522388100076,8.72686047344418,8.47017772273897,8.58832744325304,8.49847954914708,8.46956533904691,8.40640737737408,8.79633317412444,8.58796862563477,8.64401245053581,8.42899942661727,8.54923765912698,8.22762495584191,8.47795402936772,8.61824200481277,8.98547339169117,8.39739563170454,8.51616600290243,8.35300885192888,8.76870112632904,8.17558404346999,8.76376164236527,8.01922794297919,9.16169947474471,8.91802541424464,9.0056407002396,8.48521620605504,8.56695395290709,8.39937444015569,8.81892736612511,8.44011876367922,8.76491551107265,8.41456045391817,8.78658746568763,8.5481640701963,8.77316180564724,8.40433254498895,8.69816793838662,8.37278653840984
"2317472",6.64905846640816,6.0064074954582,6.89810563758103,6.11977127115821,6.85187554189803,6.71690197000786,6.512160534246,6.47228958993952,6.30521083305798,6.37981802962268,6.5070018662612,6.29638705888132,6.7767602176062,6.21596114047638,6.55519243020605,6.38440537861067,6.75793056711767,6.6005761159632,7.25050920540001,6.60411140981831,6.80583766602936,6.7140516119481,6.43674824966012,6.43530587306605,6.78760486235284,7.00002759356602,6.48112854982442,6.54978507405174,7.07286621596948,6.65067088266721,6.42085926696406,6.77847295699657,6.61733019986545,6.2483231733012,6.74464731823756,6.58161640781403,6.87450932199284,6.48001278549237,6.20362074413051,6.1210390225512,6.55391717306721,6.53629201990998,6.72974491023384,6.27277123879266,6.74691993967793,6.85539914684304,6.92378297914631,6.52213003268898,6.5456906920041,6.56311725262101
"2317512",7.47568060664614,7.20199456080374,7.35969114419563,6.93535851004583,7.30235536910042,7.23217210814473,7.34245703191283,7.58492225125656,7.1129456398176,7.08424007680675,7.23209715277309,7.18782056429528,7.49270249577291,7.10002369815408,7.28752032677129,7.31733711195317,7.19145181674353,7.36548493810195,7.60117316568386,7.45618413158992,7.24599462667759,7.58710031000449,6.98656356815569,7.32173447610852,7.46011301658588,7.40102008090271,7.09899112815239,7.37134287582843,7.52229313773545,7.36986295041854,7.2748320475216,7.34856126320251,7.36456517652824,7.27796458219134,7.32627509011513,7.58662325468062,7.53035401652769,7.33748151268657,7.14537840218219,7.44287281134102,7.23782291884432,7.22652036240973,7.25414755474142,7.3400011633944,7.5210375154891,7.70166744376126,7.48932643755201,7.3348497967603,7.11571972212846,7.39131906068931
