"","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME","ENTREZID","threshold"
"2402068",-0.43263865004236,6.75898524298331,-4.03274804408199,0.000181544730734045,0.000969662962433161,0.140211945369422,"SYF2","SYF2 pre-mRNA splicing factor","25949","Not Sig"
"2402111",-0.257956807722156,7.91876520858681,-2.2555964560425,0.0283418662965921,0.0688785270016881,-4.54937900897064,"RSRP1","arginine and serine rich protein 1","57035","Not Sig"
"2402416",0.493134525969544,4.85900769187618,4.51645103201719,3.65734989288472e-05,0.00024284141324973,1.68070532584764,"AUNIP","aurora kinase A and ninein interacting protein","79000","Not Sig"
"2402431",-0.129645390950304,6.25066886852808,-1.52665839219745,0.132922545795171,0.237847179538047,-5.84954992843258,"PAQR7","progestin and adipoQ receptor family member 7","164091","Not Sig"
"2402447",-0.026659642648581,5.59329404415537,-0.386449764181962,0.700744732917499,0.799548614185219,-6.92641802471386,"STMN1","stathmin 1","3925","Not Sig"
"2402459",1.04803127759709,8.50154087608929,5.6417555163077,7.09334479180156e-07,8.29164164696464e-06,5.51518943830792,"STMN1","stathmin 1","3925","Up"
"2402493",0.195174179429367,7.01465593194489,2.64578466366844,0.0107631523772432,0.0310291744565162,-3.68427477926836,"PAFAH2","platelet activating factor acetylhydrolase 2","5051","Not Sig"
"2402517",-0.0668355394960036,6.67709941168998,-0.831137227184991,0.409706655259583,0.550328165231229,-6.65493021872199,"SLC30A2","solute carrier family 30 member 2","7780","Not Sig"
"2402536",-0.107929962684319,5.39109298204375,-1.4418683859969,0.15535169678335,0.268233934569996,-5.97155487132021,"TRIM63","tripartite motif containing 63","84676","Not Sig"
"2402601",0.176703063380814,7.57774510626506,2.19524711741918,0.0326453711348436,0.077214406194825,-4.67322536818081,"UBXN11","UBX domain protein 11","91544","Not Sig"
"2402645",-0.0386917417981003,6.68945800550552,-0.53760578318177,0.593148880793354,0.713977907423303,-6.85611063031856,"CRYBG2","crystallin beta-gamma domain containing 2","55057","Not Sig"
"2402691",-0.0472850982390911,6.84579390625978,-0.775700216047004,0.441449259297471,0.580311732345714,-6.69940082757769,"ZNF683","zinc finger protein 683","257101","Not Sig"
"2402838",0.0653936085228137,7.7898885985174,1.31208506397049,0.195269857600274,0.318730799824963,-6.14579262474834,"GPN2","GPN-loop GTPase 2","54707","Not Sig"
"2402861",-0.0805925052912073,7.17281028712486,-1.44892654966068,0.153378345765282,0.265848552534816,-5.96164340555509,"GPATCH3","G-patch domain containing 3","63906","Not Sig"
"2402883",-0.0546796558503733,5.95417545199313,-0.523493449802215,0.60286089655883,0.721839264220008,-6.86363912505078,"NR0B2","nuclear receptor subfamily 0 group B member 2","8431","Not Sig"
"2402892",0.252162013021764,7.37642526740889,4.1517318925802,0.00012324202742638,0.000695024408322329,0.511332314185434,"KDF1","keratinocyte differentiation factor 1","126695","Not Sig"
"2402914",-0.043228339958473,7.30705360719987,-0.335939890097365,0.738271653367693,0.82666220715779,-6.94481583769668,"TENT5B","terminal nucleotidyltransferase 5B","115572","Not Sig"
"2402942",0.265244612701425,7.971706405423,2.9521285498535,0.00473127387569237,0.0155758404543621,-2.93233407819117,"SLC9A1","solute carrier family 9 member A1","6548","Not Sig"
"2403027",-0.233249434955736,7.84740223593716,-4.06161692467428,0.000165332096668991,0.00089457344635722,0.229751617004791,"MAP3K6","mitogen-activated protein kinase kinase kinase 6","9064","Not Sig"
"2403080",-0.136816398039722,7.01805874739635,-1.72364527959237,0.0907297515002524,0.175905272639131,-5.54175671393181,"FCN3","ficolin 3","8547","Not Sig"
"2403099",-0.308282159196116,6.96708023062708,-4.4781864256892,4.16198925271269e-05,0.000270793808576586,1.55593575136659,"CD164L2","CD164 molecule like 2","388611","Not Sig"
"2403111",-0.479730179679853,9.89307810228972,-6.25622203374506,7.64180398270743e-08,1.20922895372662e-06,7.69860191443354,"WASF2","WASP family member 2","10163","Not Sig"
"2403158",-0.322660715430679,8.37467907877031,-4.29705097954768,7.63141490969435e-05,0.000459324784187264,0.971768074033079,"AHDC1","AT-hook DNA binding motif containing 1","27245","Not Sig"
"2403215",-0.180935649098806,7.76489337262164,-1.71927819907531,0.0915280861664,0.177172166441705,-5.54894303249092,"FGR","FGR proto-oncogene, Src family tyrosine kinase","2268","Not Sig"
"2403261",1.03650487471981,11.0668361466525,4.12865868662674,0.000132904716736901,0.000741537571633948,0.438940345467945,"IFI6","interferon alpha inducible protein 6","2537","Up"
"2403301",0.00479010931593926,6.74047873903065,0.0662545900003791,0.947429906306567,0.968064527000614,-6.99958331095354,"RPA2","replication protein A2","6118","Not Sig"
"2403335",0.150437926578114,7.69723253837637,1.65411324375006,0.104145765718311,0.196565979182451,-5.65423823488781,"EYA3","EYA transcriptional coactivator and phosphatase 3","2140","Not Sig"
