"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:1903900","GO:1903900","regulation of viral life cycle",104,0.431651143472283,1.55556640474373,0.0035887765597726,0.0236851551707739,0.0167238446867198,3908,"tags=46%, list=23%, signal=36%","7153/4939/684/4940/4938/91543/6732/5819/4599/8815/3838/27074/3434/64135/103/9217/8638/56649/6780/682/9235/60489/7706/55254/57169/7251/3609/164668/10155/200316/3669/5886/51495/5481/6737/972/23633/6895/5610/6352/6609/8519/63901/920/6733/55223/85363/1642"
"GO:0072657","GO:0072657","protein localization to membrane",427,-0.338125952269485,-1.36206466877651,0.00360144433696844,0.0237432841550834,0.0167648889652302,2299,"tags=20%, list=13%, signal=18%","6769/583/23180/8417/30818/1969/1740/55667/5583/51763/493/2852/22841/10268/10399/3958/5174/6844/57728/2621/51762/6342/55800/150684/8642/285590/9419/9482/51560/112609/23136/25999/54206/5581/7275/5317/10266/158866/27065/63971/4040/817/5962/3745/64114/5064/9475/825/2534/9693/55107/9270/2119/1601/9378/1830/51201/30846/9397/4035/5071/55022/6812/1902/5621/22871/10979/342667/5295/54997/6711/1363/287/286753/2934/5764/84668/10580/5649/1956/857/5284/2719/948/91851/9370"
"GO:1905314","GO:1905314","semi-lunar valve development",47,-0.550684273609461,-1.66018927124447,0.00361060840488943,0.023752783206925,0.016771596148127,2936,"tags=47%, list=17%, signal=39%","659/23493/3516/4772/6091/23462/7133/8313/182/4853/2006/7291/650/4087/652/7075/9475/6591/9353/7048/6586/11096"
"GO:0045214","GO:0045214","sarcomere organization",47,-0.5505687861806,-1.6598411026122,0.00361060840488943,0.023752783206925,0.016771596148127,1394,"tags=23%, list=8%, signal=22%","2318/1465/825/5629/7140/5587/8736/1906/7273/1073/4604"
"GO:0086009","GO:0086009","membrane repolarization",52,-0.545220966962747,-1.6826141532486,0.00363432499992703,0.0238832618317854,0.0168637257643937,1727,"tags=29%, list=10%, signal=26%","9465/3759/3764/30820/6330/3736/482/9472/3753/477/845/781/30819/287/857"
"GO:0002230","GO:0002230","positive regulation of defense response to virus by host",31,0.600033489795617,1.74712902105642,0.00365260108536483,0.0239777473597429,0.0169304410247883,3131,"tags=42%, list=18%, signal=34%","6772/83666/10859/23586/29108/151636/9447/9868/60489/115004/200316/80149/440275"
"GO:2000781","GO:2000781","positive regulation of double-strand break repair",89,0.444198122159044,1.5678474893033,0.00368110881719593,0.0241391261562603,0.017044388934744,3195,"tags=33%, list=19%, signal=27%","2305/10635/9643/142/2187/8914/5591/55257/8089/8607/3014/6597/86/4683/6944/10856/2271/10459/51588/7336/6598/64769/78996/10097/6502/11284/2521/6603/5977"
"GO:0007431","GO:0007431","salivary gland development",36,-0.605866455045281,-1.73531379623225,0.00369634481093806,0.0242132235698403,0.0170967083570769,1060,"tags=33%, list=6%, signal=31%","284217/8829/29842/59277/10512/2260/6591/3082/2252/4781/2255/1956"
"GO:0046394","GO:0046394","carboxylic acid biosynthetic process",304,-0.364950195651402,-1.42381906461961,0.00370937405684604,0.0242727232166596,0.017138720446301,2057,"tags=21%, list=12%, signal=19%","493/441024/3995/114883/552/26227/1962/6470/65084/10170/6296/114876/338328/6342/51302/55256/8803/37/55825/54206/23498/2182/10020/5562/5322/8309/9420/1373/27306/54988/10873/247/1806/220/9444/55902/116285/51085/5629/8864/5730/8850/1906/11343/2946/7360/2180/33/5321/51129/23743/8854/5354/2681/5740/5743/8644/225/216/1036/32/4023/5166"
"GO:0014888","GO:0014888","striated muscle adaptation",46,-0.543228483795281,-1.63351179953666,0.00373198440491547,0.0243947248402073,0.0172248645390472,2789,"tags=35%, list=16%, signal=29%","23493/9759/2627/5530/4089/493/4088/2308/54206/4000/4653/8837/28999/2934/32/5468"
"GO:0021954","GO:0021954","central nervous system neuron development",94,-0.470116889397401,-1.59370931431898,0.00374259408119341,0.0244381063624423,0.0172554957861259,1989,"tags=26%, list=12%, signal=23%","27185/2263/1813/26468/9723/56978/1620/5728/2043/5578/23077/2047/8829/9331/4133/9693/64283/79625/91584/9839/9353/4781/4915/3952"
"GO:0072330","GO:0072330","monocarboxylic acid biosynthetic process",214,-0.389568840082884,-1.47197597624569,0.00375155364386538,0.024470632516878,0.0172784621695469,2509,"tags=26%, list=15%, signal=22%","2628/6718/23417/23411/79966/2948/23038/157506/3995/114883/552/1962/65084/10170/6296/114876/338328/6342/51302/37/55825/54206/2182/5562/8309/9420/27306/54988/10873/247/220/9444/55902/116285/51085/5629/8864/5730/8850/1906/11343/2946/2180/33/5321/51129/8854/5354/5740/5743/8644/225/32/4023/5166"
"GO:0006814","GO:0006814","sodium ion transport",240,-0.389774444666912,-1.493437167277,0.00376678927826109,0.0245439839518898,0.0173302548640781,1797,"tags=19%, list=10%, signal=17%","1813/23171/11280/9497/259232/55800/150684/345274/10479/26249/6329/5581/6558/5446/154215/5578/6527/817/10568/154/6330/6335/55283/6328/482/6332/285195/9058/1906/6523/53826/477/7402/5187/130497/5311/6326/8671/64078/54997/1272/11254/1910/5348/1756"
"GO:0030330","GO:0030330","DNA damage response, signal transduction by p53 class mediator",81,0.446973547316198,1.55723721875544,0.00378883414209027,0.0246615013841241,0.0174132327154157,2419,"tags=28%, list=14%, signal=25%","4582/2305/5366/4282/675/1029/5716/144455/602/4646/10269/25946/4683/51512/6615/11200/4193/835/9521/22976/55544/16/1027"
